,zbest,F3GHz,logL10cm,logL21cm,logLTIRSF,SFG,MNUV,MU,MB,MV,MR,MI,MZ,MY,MJ,MH,MK,MASS_MED,MASS_BEST,SFR_MED,SFR_BEST,L_NU,L_R,L_K
3997,0.8427,32.63288,22.96863,23.200325,10.452507,0.0,-17.938,-20.872,-21.781,-22.312,-22.6,-23.038,-23.326,-23.446,-23.538,-23.778,-23.531,11.0948,11.1057,-0.210418,-0.22869,27.9901793916788,29.6625262117389,30.009579076952
3998,2.093,19.42232,24.064613,24.57593,12.178364,0.0,-19.635,-21.554,-22.302,-22.851,-23.115,-23.56,-24.145,-24.382,-24.649,-24.985,-24.944,11.2546,11.2961,2.30718,1.99594,30.1325193916788,30.5961262117389,30.670439076952
3999,0.6714,33.62269,22.752182,22.983877,11.408193,1.0,-17.571,-19.916,-20.764,-21.423,-21.714,-22.154,-22.558,-22.781,-23.138,-23.603,-23.478,10.9,10.885,0.600003,0.626579,28.7822093916788,29.7413262117389,29.996109076952
4000,0.6536,23.93113,22.577435,22.80913,11.777271,1.0,-18.486,-20.245,-20.764,-21.156,-21.396,-21.794,-22.122,-22.254,-22.511,-22.799,-22.649,10.1487,10.1191,1.59879,1.57633,29.6896193916788,29.8137262117389,29.762959076952
4001,0.6704,29.83192,22.698729,22.930424,10.163747,1.0,-18.077,-20.195,-20.857,-21.319,-21.586,-21.777,-22.015,-22.113,-22.37,-22.461,-22.222,10.55,10.5895,-8.82145e-07,0.0389033,28.2542193916788,29.3603162117389,29.558319076952
4002,2.4265,18.83015,23.780035,24.01173,9.992317,0.0,-18.912,-20.261,-20.866,-21.315,-21.568,-21.913,-22.19,-22.33,-22.459,-22.71,-22.559,10.2664,10.3959,1.4176,1.03876,29.1985593916788,29.6835262117389,29.705559076952
4003,2.4762,19.88213,23.82315,24.054846,12.426179,1.0,-19.562,-21.9,-22.354,-22.68,-23.008,-23.431,-23.716,-23.895,-24.188,-24.489,-24.407,10.9558,11.0217,2.18054,2.10436,30.2429193916788,30.5298262117389,30.438369076952
4004,0.5889,27.99796,22.540716,22.772411,11.273148,0.0,-21.237,-21.645,-21.937,-21.807,-22.219,-21.952,-22.195,-22.151,-22.189,-22.353,-22.084,9.65825,9.62051,1.78182,1.8085,29.8130193916788,29.6936262117389,29.451289076952
4005,0.978,21.15717,22.930796,23.16249,11.253455,0.0,-18.41,-20.636,-21.303,-21.857,-22.136,-22.469,-22.694,-22.859,-22.991,-23.463,-23.42,10.8999,10.8956,-0.199896,-0.22415,27.9737693916788,29.4953662117389,29.830569076952
4006,0.3605,19.76287,21.901358,22.133053,10.890593,1.0,-19.468,-20.322,-20.69,-20.869,-21.174,-21.222,-21.421,-21.515,-21.645,-21.791,-22.066,9.68878,9.6479,1.39714,1.36079,29.4408193916788,29.4786362117389,29.295439076952
